Title,Genre,Languages,Series or Movie,Runtime,View Rating,IMDb Score,Rotten Tomatoes Score,Boxoffice
Simon Killer,"Drama, Thriller","English, French",Movie,1-2 hour,Not Rated,6.4,77,"$27,740 "
The Villainess,"Action, Crime, Drama, Thriller",Korean,Movie,> 2 hrs,Not Rated,6.7,85,"$27,741 "
[REC] 2,"Action, Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Spanish,Movie,1-2 hour,R,6.5,68,"$27,766 "
"Tuesday, After Christmas","Drama, Romance",Romanian,Movie,1-2 hour,Unrated,6.9,74,"$27,813 "
The Umbrellas of Cherbourg,"Drama, Musical, Romance","French, English",Movie,1-2 hour,Not Rated,7.8,99,"$28,030 "
Hotel by the River,Drama,Korean,Movie,1-2 hour,,6.7,95,"$28,354 "
Berlin Syndrome,"Drama, Horror, Mystery, Thriller","English, German, Russian",Movie,1-2 hour,R,6.3,75,"$28,660 "
Spree,"Comedy, Crime, Thriller",English,Movie,1-2 hour,Not Rated,5.9,,"$28,771 "
Fire in the Blood,"Documentary, History","English, Hindi, Manipuri, Xhosa",Movie,1-2 hour,,7.7,90,"$28,994 "
Buffaloed,"Comedy, Drama",English,Movie,1-2 hour,Not Rated,6.2,79,"$29,118 "
The Official Story,"Drama, History, War","Spanish, English",Movie,1-2 hour,Not Rated,7.7,100,"$29,426 "
Vault,"Action, Crime, Drama, History, Thriller",English,Movie,1-2 hour,R,5.5,62,"$29,491 "
The Mercy,"Adventure, Biography, Drama, Mystery","English, Spanish",Movie,1-2 hour,Not Rated,6,74,"$29,538 "
Muran,"Action, Thriller",Tamil,Movie,> 2 hrs,,6.4,60,"$30,116 "
Nocturama,"Drama, Thriller",French,Movie,> 2 hrs,,6.4,82,"$30,157 "
Pyaar Ke Side Effects,"Comedy, Drama, Romance","Hindi, Bengali, English",Movie,> 2 hrs,,6.7,72,"$30,230 "
The Boondock Saints,"Action, Crime, Thriller","English, Spanish, Papiamento, Russian, Latin",Movie,1-2 hour,R,7.8,28,"$30,471 "
Pasolini,"Biography, Drama","English, Italian, French",Movie,1-2 hour,,5.9,78,"$30,757 "
L!fe Happens,Comedy,English,Movie,1-2 hour,R,5.6,26,"$30,905 "
Kalakalappu,Comedy,Tamil,Movie,> 2 hrs,Not Rated,6.8,80,"$30,949 "
Paths of the Soul,Drama,Tibetan,Movie,1-2 hour,Not Rated,7.5,94,"$31,747 "
Under the Shadow,"Drama, Fantasy, Horror, Thriller, War",Persian,Movie,1-2 hour,PG-13,6.9,99,"$31,900 "
오늘의 연애,"Comedy, Drama, Romance",Korean,Movie,1-2 hour,G,6.2,,"$32,211 "
Song One,"Drama, Music",English,Movie,1-2 hour,PG-13,5.8,33,"$32,251 "
Rurouni Kenshin,"Action, Adventure, Drama, History",Japanese,Movie,> 2 hrs,TV-MA,7.5,84,"$32,445 "
Alone in Berlin,"Drama, History, War",English,Movie,1-2 hour,R,6.5,57,"$33,125 "
Equals,"Drama, Romance, Sci-Fi",English,Movie,1-2 hour,PG-13,6.1,36,"$33,258 "
Sisters in Law,Documentary,English,Movie,1-2 hour,Not Rated,7.2,92,"$33,312 "
Afterimage,"Biography, Drama, History",Polish,Movie,1-2 hour,,7,,"$33,443 "
K: Missing Kings,"Animation, Action, Fantasy",Japanese,Movie,1-2 hour,TV-14,7.1,69,"$33,531 "
What to Do in Case of Fire,"Action, Comedy, Drama, Romance, Thriller",German,Movie,1-2 hour,R,6.8,50,"$33,545 "
True History of the Kelly Gang,"Biography, Crime, Drama, Western","English, Latin",Movie,> 2 hrs,R,6,79,"$33,817 "
The Map Against the World,"Drama, History",Korean,Movie,> 2 hrs,,5.8,,"$34,034 "
Kamikaze Girls,Comedy,"Japanese, French, English",Movie,1-2 hour,,7.2,62,"$34,424 "
Expelled from Paradise,"Animation, Action, Adventure, Sci-Fi",Japanese,Movie,1-2 hour,TV-14,6.7,59,"$34,510 "
I Give It a Year,"Comedy, Romance",English,Movie,1-2 hour,R,5.7,51,"$34,657 "
Mr. Right,"Action, Comedy, Romance",English,Movie,1-2 hour,R,6.3,44,"$34,694 "
Black Friday,"Action, Crime, Drama, History",Hindi,Movie,> 2 hrs,Not Rated,8.5,89,"$35,000 "
Tai Chi Hero,"Action, Adventure",Mandarin,Movie,1-2 hour,Not Rated,6.2,45,"$35,067 "
Growing Up Smith,"Comedy, Drama, Family",English,Movie,1-2 hour,PG-13,6.8,73,"$35,312 "
Canvas,Drama,English,Movie,< 30 minutes,PG-13,6.6,,"$35,630 "
The Inbetweeners Movie,Comedy,English,Movie,1-2 hour,R,6.7,53,"$36,000 "
District 13: Ultimatum,"Action, Crime, Thriller","French, English",Movie,1-2 hour,R,6.5,75,"$36,136 "
Knock Knock,"Drama, Thriller","English, Spanish",Movie,1-2 hour,R,4.9,36,"$36,336 "
Tread,Documentary,English,Movie,1-2 hour,,7.1,90,"$36,527 "
Redemption,"Action, Crime, Drama","English, Polish, Cantonese, Italian",Movie,1-2 hour,R,6.2,49,"$36,895 "
Before We Go,"Comedy, Drama, Romance",English,Movie,1-2 hour,PG-13,6.8,27,"$37,151 "
Match,"Comedy, Drama","English, French",Movie,1-2 hour,R,6.7,76,"$37,285 "
On the Beach at Night Alone,Drama,"Korean, English, German",Movie,1-2 hour,,6.8,,"$37,489 "
Ip Man: The Final Fight,"Action, Biography, Drama",Cantonese,Movie,1-2 hour,PG-13,6.2,67,"$37,884 "
The Short Game,"Documentary, Sport","English, French",Movie,1-2 hour,PG,7.4,84,"$39,819 "
Killing Season,"Action, Drama, Thriller","English, Serbian",Movie,1-2 hour,R,5.4,10,"$39,881 "
Paan Singh Tomar,"Action, Biography, Crime, Sport, Thriller",Hindi,Movie,> 2 hrs,Not Rated,8.2,89,"$40,311 "
The Phone,"Action, Mystery, Thriller",Korean,Movie,1-2 hour,Not Rated,6.6,,"$40,516 "
Wild Oats,"Action, Adventure, Comedy, Drama","English, Spanish, German",Movie,1-2 hour,PG-13,5.7,0,"$40,598 "
Nowitzki: The Perfect Shot,"Documentary, Biography, Sport","German, English",Movie,1-2 hour,Not Rated,7.6,75,"$41,340 "
Golden Exits,Drama,English,Movie,1-2 hour,R,5.8,67,"$41,888 "
Midnight Family,"Documentary, Action, Crime, Drama",Spanish,Movie,1-2 hour,Unrated,7.4,97,"$42,310 "
Blood Ties,"Action, Crime, Drama, Thriller","English, Italian, Spanish",Movie,1-2 hour,R,6.5,52,"$42,472 "
Woodshock,"Drama, Fantasy, Horror, Thriller",English,Movie,1-2 hour,R,4.3,25,"$42,603 "
Concussion,Drama,English,Movie,1-2 hour,R,5.7,75,"$42,606 "
Bluebeard,Thriller,Korean,Movie,1-2 hour,Not Rated,6.4,57,"$43,144 "
ROAD TO NINJA: NARUTO THE MOVIE,"Animation, Action, Adventure, Comedy, Fantasy",Japanese,Movie,1-2 hour,TV-14,7.7,78,"$43,171 "
Naruto Shippuden: Road to Ninja,"Animation, Action, Adventure, Comedy, Fantasy",Japanese,Movie,1-2 hour,TV-14,7.7,78,"$43,171 "
The Land,Drama,English,Movie,> 2 hrs,R,6.4,70,"$43,756 "
Tiny Times 2,"Drama, Romance",Mandarin,Movie,< 30 minutes,,3.3,26,"$43,788 "
For Sama,"Documentary, War","Arabic, English",Movie,1-2 hour,TV-PG,8.5,99,"$43,796 "
SUMMER 03,"Drama, Romance","French, English, Spanish, German",Movie,1-2 hour,R,7.7,93,"$43,839 "
Summers Over,"Drama, Romance","French, English, Spanish, German",Movie,1-2 hour,R,7.7,93,"$43,839 "
Phantom of the Theatre,"Drama, Mystery, Romance, Thriller",Mandarin,Movie,1-2 hour,Not Rated,5.3,50,"$43,955 "
Apaharan,"Action, Crime, Drama",Hindi,Movie,> 2 hrs,Not Rated,7.4,74,"$44,133 "
What Will People Say,Drama,"Urdu, Norwegian",Movie,1-2 hour,,7.4,,"$44,156 "
Madame Bovary,"Drama, Romance","English, French, Latin, German",Movie,> 2 hrs,R,5.7,43,"$44,235 "
Saint Frances,"Comedy, Drama",English,Movie,1-2 hour,,7.1,99,"$44,330 "
The Outrage,"Action, Crime, Drama, Thriller","Japanese, English",Movie,1-2 hour,R,6.8,80,"$44,745 "
The Salvation,"Drama, Western","English, Danish, Spanish",Movie,1-2 hour,R,6.7,73,"$44,903 "
Sympathy for Mr. Vengeance,"Crime, Drama, Thriller","Korean, Korean Sign Language",Movie,> 2 hrs,R,7.6,54,"$45,289 "
Texas Killing Fields,"Crime, Drama, History, Thriller",English,Movie,1-2 hour,R,5.7,37,"$45,469 "
Just Another Love Story,"Crime, Drama, Thriller",Danish,Movie,1-2 hour,Not Rated,7.2,74,"$45,835 "
Under the Silver Lake,"Crime, Drama, Mystery, Thriller",English,Movie,> 2 hrs,R,6.5,59,"$46,083 "
Wish You,"Drama, Mystery","English, Vietnamese, Khmer",Movie,1-2 hour,R,5.9,72,"$46,347 "
Bigger,"Biography, Drama",English,Movie,1-2 hour,PG-13,6.4,20,"$46,382 "
Rashomon,"Crime, Drama, Mystery",Japanese,Movie,1-2 hour,Not Rated,8.2,98,"$46,808 "
Enter the Fat Dragon,"Action, Comedy","Cantonese, Japanese, English",Movie,1-2 hour,TV-14,5.7,,"$46,855 "
So B. It,Drama,English,Movie,1-2 hour,PG-13,6.7,,"$47,627 "
Alphaville,"Drama, Mystery, Sci-Fi, Thriller","French, English",Movie,1-2 hour,Not Rated,7.1,91,"$47,696 "
From the Land of the Moon,"Drama, Romance","French, Spanish, German",Movie,> 2 hrs,R,6.7,32,"$47,748 "
The Queen,Documentary,English,Movie,1-2 hour,Not Rated,7.3,96,"$47,818 "
"Alls Well, Ends Well 2012",Comedy,Cantonese,Movie,1-2 hour,Not Rated,5,26,"$47,919 "
Two Weeks,"Comedy, Drama",English,Movie,1-2 hour,R,6.4,19,"$47,986 "
XXY,"Drama, Romance",Spanish,Movie,1-2 hour,Not Rated,7.1,85,"$48,334 "
The China Hustle,Documentary,English,Movie,1-2 hour,R,7.2,78,"$48,650 "
Tales from Earthsea,"Animation, Adventure, Fantasy","Japanese, English",Movie,1-2 hour,PG-13,6.4,,"$48,658 "
Bangistan,"Comedy, Drama",Hindi,Movie,> 2 hrs,Not Rated,4.5,33,"$48,694 "
Ghosts of Cité Soleil,"Documentary, Action, Drama, Music, Romance, War","Haitian, English, French",Movie,1-2 hour,,7.1,78,"$48,752 "
Heist,"Action, Crime, Drama, Thriller",English,Movie,1-2 hour,R,6.1,29,"$50,136 "
The Advocate: A Missing Body,"Crime, Mystery",Korean,Movie,1-2 hour,PG-13,6.6,67,"$50,162 "
The Treasure,Comedy,Romanian,Movie,1-2 hour,Unrated,6.7,,"$50,203 "
Legend of the Fist: The Return of Chen Zhen,"Action, Drama, History","Mandarin, Cantonese, Japanese, English, French, German",Movie,1-2 hour,R,6.3,47,"$50,433 "
Ophelia,"Drama, History, Romance, Thriller, War","English, Norwegian, Latin",Movie,1-2 hour,PG-13,6.6,60,"$50,722 "
Like for Likes,"Comedy, Romance",Korean,Movie,> 2 hrs,PG-13,6.1,43,"$50,839 "
Pulse,"Horror, Mystery, Sci-Fi, Thriller",Japanese,Movie,1-2 hour,R,6.6,74,"$51,420 "
Disorder,"Drama, Thriller",French,Movie,1-2 hour,Unrated,6.2,72,"$51,879 "
Exiled,"Action, Crime, Thriller","Cantonese, English",Movie,1-2 hour,R,7.2,80,"$51,957 "
My Annoying Brother,"Comedy, Drama",Korean,Movie,1-2 hour,PG,7.3,,"$51,996 "
​Digimon Adventure Tri. Chapter 5 Coexistence,"Animation, Action, Adventure",Japanese,Movie,1-2 hour,TV-PG,7.2,,"$52,339 "
One Cut of the Dead,"Comedy, Horror",Japanese,Movie,1-2 hour,Not Rated,7.7,,"$52,406 "
The Club,"Comedy, Drama, Mystery",Spanish,Series,< 30 minutes,Not Rated,7.2,,"$52,761 "
Diary of a Chambermaid,Drama,French,Movie,1-2 hour,Not Rated,5.5,66,"$54,235 "
Digimon Adventure Tri. Chapter 6 Our Future,"Animation, Action, Adventure",Japanese,Movie,1-2 hour,TV-PG,7.5,67,"$54,324 "
Clown,"Drama, Fantasy, Horror, Sci-Fi, Thriller",English,Movie,1-2 hour,R,5.7,44,"$55,007 "
Regresión,"Crime, Drama, Mystery, Thriller",English,Movie,1-2 hour,R,5.7,15,"$55,039 "
Anthony Kaun Hai?,"Mystery, Thriller",Hindi,Movie,> 2 hrs,,5.2,20,"$55,418 "
The Lovers and the Despot,"Documentary, Thriller","Korean, English, Japanese",Movie,1-2 hour,Unrated,6.6,79,"$55,511 "
Royal Space Force: Wings of Honneamise,"Animation, Drama, Sci-Fi",Japanese,Movie,> 2 hrs,Unrated,7.3,100,"$55,572 "
The Whistlers,"Comedy, Crime, Drama, Thriller","Romanian, English, Spanish",Movie,1-2 hour,Not Rated,6.3,,"$55,608 "
Election 2,"Crime, Drama, Thriller","Mandarin, Cantonese",Movie,1-2 hour,Unrated,7.4,96,"$55,758 "
Dongju: The Portrait of a Poet,"Biography, Drama","Korean, Japanese",Movie,1-2 hour,,6.3,43,"$56,550 "
Ilo Ilo,Drama,"Mandarin, Tagalog, English, Hokkien",Movie,1-2 hour,Not Rated,7.3,100,"$56,773 "
The Embalmer,"Drama, Romance",Italian,Movie,1-2 hour,Not Rated,7,81,"$56,878 "
Pelé: Birth of a Legend,"Biography, Drama, Sport","English, Portuguese, Swedish",Movie,1-2 hour,PG,7.2,33,"$57,046 "
Bhavesh Joshi Superhero,"Action, Drama",Hindi,Movie,> 2 hrs,Not Rated,7.6,42,"$57,376 "
"Patrik, Age 1.5","Comedy, Drama, Romance",Swedish,Movie,1-2 hour,Unrated,6.9,72,"$57,468 "
Black 47,"Action, Drama","English, Irish",Movie,1-2 hour,R,6.8,78,"$57,520 "
A Kid Like Jake,Drama,English,Movie,1-2 hour,R,5.4,49,"$58,403 "
Vulgaria,Comedy,Cantonese,Movie,1-2 hour,Not Rated,6.3,57,"$59,059 "
Declaration of War,Drama,French,Movie,1-2 hour,Not Rated,7,86,"$59,100 "
Walk of Shame,Comedy,"English, Hebrew",Movie,1-2 hour,R,6,12,"$59,209 "
Time Renegades,"Drama, Fantasy, Romance, Thriller",Korean,Movie,1-2 hour,PG-13,6.8,38,"$59,425 "
Wetlands,"Comedy, Drama",German,Movie,1-2 hour,Not Rated,5.8,91,"$59,478 "
Cooties,"Action, Comedy, Horror, Sci-Fi, Thriller",English,Movie,1-2 hour,R,5.7,45,"$60,058 "
Neighboring Sounds,"Drama, Thriller","Portuguese, English, Mandarin, Persian",Movie,> 2 hrs,Unrated,7.2,93,"$60,255 "
Girl Asleep,"Comedy, Family, Fantasy",English,Movie,1-2 hour,TV-MA,6.2,,"$60,289 "
Girlhood,Drama,French,Movie,1-2 hour,Unrated,6.9,96,"$60,765 "
We Summon the Darkness,"Horror, Music, Thriller",English,Movie,1-2 hour,R,5.2,,"$60,794 "
Young and Beautiful,"Drama, Romance","French, German",Movie,1-2 hour,Not Rated,6.7,73,"$61,067 "
Loreak,Drama,Basque,Movie,1-2 hour,Not Rated,6.8,77,"$61,568 "
Viva Riva!,"Crime, Drama, Thriller","French, Lingala, Portuguese",Movie,1-2 hour,R,6.2,86,"$61,759 "
In a Valley of Violence,"Action, Western",English,Movie,1-2 hour,R,6,77,"$61,797 "
Puella Magi Madoka Magica the Movie: Eternal,"Animation, Fantasy, Mystery, Thriller",Japanese,Movie,1-2 hour,Not Rated,8,,"$62,340 "
The Tiger Hunter,Comedy,"English, Hindi",Movie,1-2 hour,Not Rated,6,78,"$62,398 "
The Last Sentence,"Biography, Drama",Swedish,Movie,> 2 hrs,Unrated,6,74,"$62,506 "
Let the Bullets Fly,"Action, Comedy, Drama, Western",Mandarin,Movie,> 2 hrs,Not Rated,7.3,76,"$63,012 "
Liz and the Blue Bird,"Animation, Drama, Fantasy, Music","Japanese, English",Movie,1-2 hour,,7.2,82,"$63,204 "
The Tenth Man,"Comedy, Drama","Spanish, Hebrew, Yiddish",Movie,1-2 hour,Unrated,5.8,71,"$63,564 "
Office,"Comedy, Musical, Romance","Mandarin, Cantonese, English",Movie,1-2 hour,,6.1,,"$63,675 "
FENGSHUI,"Drama, History",Korean,Movie,> 2 hrs,Not Rated,6,,"$64,147 "
The Teacher,"Comedy, Drama",Slovak,Movie,1-2 hour,Unrated,7.3,,"$64,437 "
Monsieur Verdoux,"Comedy, Crime, Drama",English,Movie,> 2 hrs,Passed,7.9,97,"$64,636 "
Shaolin,"Action, Drama","Mandarin, Cantonese",Movie,> 2 hrs,R,6.9,74,"$66,099 "
A Beautiful Life,"Drama, Romance","Mandarin, Chinese, English, Cantonese",Movie,> 2 hrs,Not Rated,6.7,,"$66,171 "
Phantom Detective,"Action, Crime, Drama, Mystery, Thriller",Korean,Movie,> 2 hrs,PG-13,6.3,,"$67,054 "
By the Grace of God,"Crime, Drama",French,Movie,> 2 hrs,,7.2,,"$67,059 "
Being Frank,Comedy,English,Movie,1-2 hour,R,6,34,"$67,343 "
Where Hands Touch,"Drama, Romance, War",English,Movie,> 2 hrs,PG-13,6.3,43,"$67,743 "
The Silence of Others,Documentary,"Spanish, English, Basque, Catalan",Movie,1-2 hour,,8,100,"$67,986 "
The Body,"Mystery, Thriller","Hindi, English",Movie,1-2 hour,,5.4,,"$68,196 "
Predestination,"Action, Drama, Sci-Fi, Thriller",English,Movie,1-2 hour,R,7.5,84,"$68,372 "
Heartbeats,"Drama, Romance","French, English",Movie,> 2 hrs,Not Rated,7.1,73,"$68,723 "
Klown,Comedy,Danish,Movie,1-2 hour,R,7.2,73,"$68,795 "
Fireflies in the Garden,Drama,English,Movie,1-2 hour,R,6.5,22,"$70,600 "
HOW TO BUILD A GIRL,Comedy,English,Movie,1-2 hour,R,5.8,79,"$70,632 "
Norman Lear: Just Another Version of You,"Documentary, Biography, History",English,Movie,1-2 hour,Unrated,7.2,86,"$70,950 "
The Tree,"Drama, Romance","English, French",Movie,1-2 hour,Not Rated,6.6,72,"$71,158 "
A Letter to Momo,"Animation, Adventure, Comedy, Drama, Family, Fantasy",Japanese,Movie,> 2 hrs,Not Rated,7.3,81,"$71,712 "
"Léon Morin, Priest","Drama, Romance, War","French, English, German",Movie,> 2 hrs,Not Rated,7.6,96,"$72,078 "
Law of Desire,"Comedy, Drama, Thriller",Spanish,Movie,1-2 hour,NC-17,7.1,100,"$72,442 "
Busters Mal Heart,"Crime, Drama, Mystery, Thriller","English, Spanish",Movie,1-2 hour,Unrated,6.1,70,"$73,121 "
Bill Nye: Science Guy,Documentary,English,Movie,1-2 hour,Not Rated,6.3,100,"$74,909 "
Keys To The Heart,"Comedy, Drama, Family",Korean,Movie,> 2 hrs,,7.5,77,"$75,134 "
Die göttliche Ordnung,"Comedy, Drama","Swiss German, German, English, Italian",Movie,1-2 hour,,7.1,,"$76,277 "
Triple Threat,"Action, Thriller","English, Mandarin, Thai",Movie,1-2 hour,R,5.6,69,"$76,289 "
Commitment,"Action, Drama",Korean,Movie,1-2 hour,Not Rated,6.7,40,"$76,543 "
So Close,"Action, Crime, Thriller","Mandarin, Cantonese, English",Movie,1-2 hour,R,6.7,82,"$76,584 "
Fast Color,"Drama, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,6.1,81,"$76,916 "
A Faithful Man,"Comedy, Drama, Romance",French,Movie,1-2 hour,,6.2,,"$77,491 "
Breath,"Drama, Mystery, Sci-Fi, Thriller","French, English",Movie,1-2 hour,,5.9,,"$77,987 "
The Princess and the Matchmaker,"Comedy, History, Romance",Korean,Movie,1-2 hour,,6.3,60,"$78,900 "
SAINT JUDY,"Biography, Drama",English,Movie,1-2 hour,PG-13,6.3,,"$78,935 "
Eye See You,"Crime, Thriller",English,Movie,1-2 hour,R,5.4,18,"$79,161 "
Oye Lucky! Lucky Oye!,"Comedy, Crime, Drama",Hindi,Movie,1-2 hour,PG-13,7.7,68,"$80,037 "
For the Love of Spock,"Documentary, Biography",English,Movie,1-2 hour,Not Rated,7.6,82,"$80,141 "
The Death of Mr. Lazarescu,"Comedy, Drama",Romanian,Movie,> 2 hrs,R,7.9,93,"$80,301 "
Stuck in Love,"Comedy, Drama, Romance",English,Movie,1-2 hour,R,7.2,58,"$81,071 "
Earth: One Amazing Day,"Documentary, Family","English, Chinese",Movie,1-2 hour,G,7.8,100,"$81,345 "
I Am Divine,Documentary,English,Movie,1-2 hour,Not Rated,7.6,96,"$81,497 "
King Cobra,"Comedy, Crime, Drama",English,Movie,1-2 hour,Not Rated,5.6,49,"$81,757 "
Redoubtable,"Biography, Comedy, Drama, Romance","French, English, Italian",Movie,1-2 hour,R,6.6,,"$82,264 "
A Street Cat Named Bob,"Biography, Drama, Family",English,Movie,1-2 hour,Not Rated,7.4,77,"$82,703 "
Pagpag: Nine Lives,Horror,"Filipino, Tagalog",Movie,1-2 hour,TV-14,5.5,30,"$82,786 "
Warriors of Heaven and Earth,"Action, Adventure, Drama","Mandarin, Japanese",Movie,1-2 hour,R,6.3,68,"$82,936 "
Claires Camera,Drama,"Korean, English, French",Movie,1-2 hour,Unrated,6.5,,"$83,418 "
The Eye of the Storm,Drama,"English, French, German",Movie,1-2 hour,Not Rated,6.1,60,"$83,566 "
High Strung Free Dance,"Music, Romance",English,Movie,1-2 hour,PG,6.8,50,"$83,891 "
Papi Chulo,"Comedy, Drama",English,Movie,1-2 hour,R,6.5,76,"$84,703 "
How to Talk to Girls at Parties,"Comedy, Music, Romance, Sci-Fi",English,Movie,1-2 hour,R,5.7,48,"$84,809 "
Lobster Cop,"Comedy, Crime",Mandarin,Movie,1-2 hour,,5.1,,"$85,693 "
Bay of Angels,"Drama, Romance",French,Movie,1-2 hour,Not Rated,7.3,86,"$85,840 "
Mayday Life,Music,Mandarin,Movie,> 2 hrs,,7.3,,"$85,912 "
Eclipse,"Drama, Romance",English,Movie,1-2 hour,,6.1,,"$86,438 "
Sand Storm,Drama,Arabic,Movie,1-2 hour,,6.8,93,"$86,800 "
Pierrot le fou,"Crime, Drama, Romance","French, English, Italian",Movie,1-2 hour,Not Rated,7.6,86,"$87,011 "
Goldstone,"Crime, Thriller","English, Mandarin",Movie,1-2 hour,R,6.5,76,"$87,639 "
Ocean Waves,"Animation, Drama, Romance",Japanese,Movie,1-2 hour,PG-13,6.7,88,"$87,738 "
Settai,"Action, Comedy, Crime","Tamil, Telugu",Movie,> 2 hrs,Not Rated,4.5,36,"$87,838 "
Byzantium,"Drama, Fantasy, Horror, Thriller",English,Movie,1-2 hour,R,6.5,65,"$89,237 "
The Third Murder,"Crime, Drama, Mystery",Japanese,Movie,> 2 hrs,Not Rated,6.7,,"$89,315 "
Breathe In,"Drama, Romance",English,Movie,1-2 hour,R,6.4,56,"$89,661 "
Beasts of No Nation,"Drama, War","English, Akan",Movie,> 2 hrs,Not Rated,7.7,92,"$90,777 "
Ek Khiladi Ek Haseena,"Comedy, Crime, Thriller",Hindi,Movie,> 2 hrs,,5.7,41,"$90,869 "
The King’s Case Note,"Comedy, Mystery",Korean,Movie,1-2 hour,,6.4,,"$90,959 "
Memoir of a Murderer,"Action, Crime, Thriller",Korean,Movie,1-2 hour,Not Rated,7.2,77,"$91,335 "
Other People,"Comedy, Drama",English,Movie,1-2 hour,Unrated,6.8,85,"$91,441 "
The Young Girls of Rochefort,"Comedy, Drama, Musical, Romance","French, English",Movie,> 2 hrs,G,7.7,98,"$91,837 "
12:08 East of Bucharest,"Comedy, Drama",Romanian,Movie,1-2 hour,Unrated,7.4,96,"$91,881 "
Passion,"Adventure, Drama, Mystery, Thriller","English, German",Movie,1-2 hour,R,5.3,33,"$92,181 "
Saving Mr. Wu,"Action, Crime, Drama, Thriller","Mandarin, Russian",Movie,1-2 hour,Not Rated,6.7,100,"$92,696 "
I Spit on Your Grave,"Horror, Thriller",English,Movie,1-2 hour,R,6.3,32,"$93,051 "
Tesla,"Biography, Drama",English,Movie,1-2 hour,PG-13,5,,"$93,147 "
The Image Book,Drama,"French, English, Arabic, Italian, German",Movie,1-2 hour,Not Rated,6.2,,"$94,153 "
Rojo,"Drama, Mystery, Thriller",Spanish,Movie,1-2 hour,,6.4,96,"$94,757 "
Code Unknown,Drama,"French, Romanian, Malinka, French Sign Language, English",Movie,< 30 minutes,Not Rated,7.2,75,"$95,242 "
Autumn Spring,"Comedy, Drama, Family","Czech, Slovak",Movie,1-2 hour,PG-13,7.5,97,"$96,269 "
The Mayor,Drama,Korean,Movie,> 2 hrs,Not Rated,6.3,50,"$96,777 "
Poster Boys,Comedy,Hindi,Movie,> 2 hrs,PG-13,5.4,33,"$97,049 "
Childs Pose,Drama,Romanian,Movie,1-2 hour,Not Rated,7.4,92,"$97,170 "
D.E.B.S.,"Action, Comedy, Romance",English,Movie,1-2 hour,PG-13,5.3,41,"$97,446 "
Seondal: The Man Who Sells the River,"Adventure, Comedy, History",Korean,Movie,> 2 hrs,,6.5,,"$97,477 "
Tazza: One Eyed Jack,"Crime, Drama, Thriller",Korean,Movie,> 2 hrs,,5.8,78,"$97,655 "
Fida,"Action, Crime, Drama, Romance, Thriller",Hindi,Movie,1-2 hour,,5.5,60,"$98,297 "
The Best Offer,"Crime, Drama, Mystery, Romance",English,Movie,> 2 hrs,R,7.8,56,"$100,035 "
Elite Squad: The Enemy Within,"Action, Crime, Drama, Thriller",Portuguese,Movie,1-2 hour,Not Rated,8,93,"$100,119 "
All About Nina,"Comedy, Drama, Romance",English,Movie,1-2 hour,R,6.1,86,"$100,335 "
Wuthering Heights,"Drama, Romance",English,Movie,> 2 hrs,Not Rated,6,68,"$100,915 "
Mugamoodi,"Action, Adventure",Tamil,Movie,> 2 hrs,Not Rated,4.9,38,"$101,000 "
One Chance,"Biography, Comedy, Drama, Music","English, Italian",Movie,1-2 hour,PG-13,6.8,63,"$101,196 "
Ghost in the Shell: The New Movie,"Animation, Action, Sci-Fi","Japanese, English",Movie,1-2 hour,TV-MA,6.7,62,"$101,203 "
Unstoppable,"Action, Crime, Thriller",Korean,Movie,1-2 hour,Not Rated,6.6,,"$101,417 "
